"","coords.lon","coords.lat","areas","areas.sum.areas."
"1",-64.25,-20.25,2899.08021415967,0.000487688157739677
"2",-63.75,-20.25,2899.08021415967,0.000487688157739677
"3",-63.25,-20.25,2899.08021415967,0.000487688157739677
"4",-64.25,-19.75,2908.30329982746,0.000489239680748951
"5",-63.75,-19.75,2908.30329982746,0.000489239680748951
"6",-63.25,-19.75,2908.30329982746,0.000489239680748951
"7",-62.75,-19.75,2908.30329982746,0.000489239680748951
"8",-62.25,-19.75,2908.30329982746,0.000489239680748951
"9",-64.25,-19.25,2917.30490388227,0.000490753945748156
"10",-63.75,-19.25,2917.30490388227,0.000490753945748156
"11",-63.25,-19.25,2917.30490388227,0.000490753945748156
"12",-62.75,-19.25,2917.30490388227,0.000490753945748156
"13",-62.25,-19.25,2917.30490388227,0.000490753945748156
"14",-66.25,-18.75,2926.08434068673,0.000492230837398221
"15",-65.75,-18.75,2926.08434068673,0.000492230837398221
"16",-65.25,-18.75,2926.08434068673,0.000492230837398221
"17",-64.75,-18.75,2926.08434068673,0.000492230837398221
"18",-64.25,-18.75,2926.08434068673,0.000492230837398221
"19",-63.75,-18.75,2926.08434068673,0.000492230837398221
"20",-63.25,-18.75,2926.08434068673,0.000492230837398221
"21",-62.75,-18.75,2926.08434068673,0.000492230837398221
"22",-62.25,-18.75,2926.08434068673,0.000492230837398221
"23",-61.75,-18.75,2926.08434068673,0.000492230837398221
"24",-61.25,-18.75,2926.08434068673,0.000492230837398221
"25",-60.75,-18.75,2926.08434068673,0.000492230837398221
"26",-66.25,-18.25,2934.64094152062,0.000493670243205902
"27",-65.75,-18.25,2934.64094152062,0.000493670243205902
"28",-65.25,-18.25,2934.64094152062,0.000493670243205902
"29",-64.75,-18.25,2934.64094152062,0.000493670243205902
"30",-64.25,-18.25,2934.64094152062,0.000493670243205902
"31",-63.75,-18.25,2934.64094152062,0.000493670243205902
"32",-63.25,-18.25,2934.64094152062,0.000493670243205902
"33",-62.75,-18.25,2934.64094152062,0.000493670243205902
"34",-62.25,-18.25,2934.64094152062,0.000493670243205902
"35",-61.75,-18.25,2934.64094152062,0.000493670243205902
"36",-61.25,-18.25,2934.64094152062,0.000493670243205902
"37",-60.75,-18.25,2934.64094152062,0.000493670243205902
"38",-66.75,-17.75,2942.9740546363,0.000495072053533113
"39",-66.25,-17.75,2942.9740546363,0.000495072053533113
"40",-65.75,-17.75,2942.9740546363,0.000495072053533113
"41",-65.25,-17.75,2942.9740546363,0.000495072053533113
"42",-64.75,-17.75,2942.9740546363,0.000495072053533113
"43",-64.25,-17.75,2942.9740546363,0.000495072053533113
"44",-63.75,-17.75,2942.9740546363,0.000495072053533113
"45",-63.25,-17.75,2942.9740546363,0.000495072053533113
"46",-62.75,-17.75,2942.9740546363,0.000495072053533113
"47",-62.25,-17.75,2942.9740546363,0.000495072053533113
"48",-61.75,-17.75,2942.9740546363,0.000495072053533113
"49",-61.25,-17.75,2942.9740546363,0.000495072053533113
"50",-60.75,-17.75,2942.9740546363,0.000495072053533113
"51",-60.25,-17.75,2942.9740546363,0.000495072053533113
"52",-66.75,-17.25,2951.08304530781,0.000496436161605184
"53",-66.25,-17.25,2951.08304530781,0.000496436161605184
"54",-65.75,-17.25,2951.08304530781,0.000496436161605184
"55",-65.25,-17.25,2951.08304530781,0.000496436161605184
"56",-64.75,-17.25,2951.08304530781,0.000496436161605184
"57",-64.25,-17.25,2951.08304530781,0.000496436161605184
"58",-63.75,-17.25,2951.08304530781,0.000496436161605184
"59",-63.25,-17.25,2951.08304530781,0.000496436161605184
"60",-62.75,-17.25,2951.08304530781,0.000496436161605184
"61",-62.25,-17.25,2951.08304530781,0.000496436161605184
"62",-61.75,-17.25,2951.08304530781,0.000496436161605184
"63",-61.25,-17.25,2951.08304530781,0.000496436161605184
"64",-60.75,-17.25,2951.08304530781,0.000496436161605184
"65",-60.25,-17.25,2951.08304530781,0.000496436161605184
"66",-67.75,-16.75,2958.9672958873,0.000497762463520353
"67",-67.25,-16.75,2958.9672958873,0.000497762463520353
"68",-66.75,-16.75,2958.9672958873,0.000497762463520353
"69",-66.25,-16.75,2958.9672958873,0.000497762463520353
"70",-65.75,-16.75,2958.9672958873,0.000497762463520353
"71",-65.25,-16.75,2958.9672958873,0.000497762463520353
"72",-64.75,-16.75,2958.9672958873,0.000497762463520353
"73",-64.25,-16.75,2958.9672958873,0.000497762463520353
"74",-63.75,-16.75,2958.9672958873,0.000497762463520353
"75",-63.25,-16.75,2958.9672958873,0.000497762463520353
"76",-62.75,-16.75,2958.9672958873,0.000497762463520353
"77",-62.25,-16.75,2958.9672958873,0.000497762463520353
"78",-61.75,-16.75,2958.9672958873,0.000497762463520353
"79",-61.25,-16.75,2958.9672958873,0.000497762463520353
"80",-60.75,-16.75,2958.9672958873,0.000497762463520353
"81",-67.75,-16.25,2966.62620582021,0.00049905085825232
"82",-67.25,-16.25,2966.62620582021,0.00049905085825232
"83",-66.75,-16.25,2966.62620582021,0.00049905085825232
"84",-66.25,-16.25,2966.62620582021,0.00049905085825232
"85",-65.75,-16.25,2966.62620582021,0.00049905085825232
"86",-65.25,-16.25,2966.62620582021,0.00049905085825232
"87",-64.75,-16.25,2966.62620582021,0.00049905085825232
"88",-64.25,-16.25,2966.62620582021,0.00049905085825232
"89",-63.75,-16.25,2966.62620582021,0.00049905085825232
"90",-63.25,-16.25,2966.62620582021,0.00049905085825232
"91",-62.75,-16.25,2966.62620582021,0.00049905085825232
"92",-62.25,-16.25,2966.62620582021,0.00049905085825232
